产品号：35082344,工位号：1，已运行时间：0分，测试合格产品号：35082344,工位号：1，已运行时间：19秒，启动不成功，测试不合格产品号：35082344,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772007秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772012秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772013秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772018秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212866分，测试合格产品号：1554127892,工位号：2，已运行时间：1452772023秒，启动不成功，测试不合格产品号：1554127892,工位号：2，已运行时间：24212867分，测试合格产品号：1554127892,工位号：3，已运行时间：1452772032秒，启动不成功，测试不合格产品号：1554127892,工位号：3，已运行时间：24212867分，测试合格产品号：1554127892,工位号：3，已运行时间：1452772373秒，启动不成功，测试不合格产品号：1554127892,工位号：3，已运行时间：24212872分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1554127892,工位号：9，已运行时间：0分，测试合格产品号：1554127892,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：9，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：1，已运行时间：0分，测试合格产品号：1414011924,工位号：2，已运行时间：2分，测试合格产品号：1414011924,工位号：1，已运行时间：2分，测试合格产品号：1414011924,工位号：9，已运行时间：2分，测试合格产品号：1414011924,工位号：1，已运行时间：1分，测试合格产品号：36458664,工位号：1，已运行时间：1分，测试合格产品号：36465664,工位号：2，已运行时间：1分，测试合格产品号：36458512,工位号：3，已运行时间：1分，测试合格产品号：36465832,工位号：4，已运行时间：1分，测试合格产品号：36467728,工位号：5，已运行时间：1分，测试合格产品号：36466304,工位号：6，已运行时间：1分，测试合格产品号：36462416,工位号：7，已运行时间：1分，测试合格产品号：36462536,工位号：8，已运行时间：1分，测试合格产品号：36462784,工位号：9，已运行时间：1分，测试合格产品号：36467896,工位号：10，已运行时间：1分，测试合格产品号：36467952,工位号：11，已运行时间：1分，测试合格产品号：36466472,工位号：12，已运行时间：1分，测试合格产品号：36468544,工位号：13，已运行时间：1分，测试合格产品号：36468968,工位号：14，已运行时间：1分，测试合格产品号：36468712,工位号：15，已运行时间：1分，测试合格产品号：36468120,工位号：16，已运行时间：1分，测试合格产品号：35737768,工位号：1，已运行时间：1分，测试合格 
产品号：35741864,工位号：2，已运行时间：1分，测试合格 
产品号：50155696,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：50166096,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：50166264,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：50164256,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：50162752,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1599806484,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1602427924,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0007，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0014，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0015，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0016，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0008，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0001，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0009，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0010，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0002，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0003，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0011，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0012，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0004，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0005，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0013，已运行时间：0分，测试合格
产品号：1603279892,工位号：TYLH0006，已运行时间：0分，测试合格
